id,host_since,zipcode,latitude,longitude,accommodates,bathrooms,bedrooms,beds,guests_included,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_listing_count,price,property_type_0,property_type_1,property_type_2,property_type_3,property_type_4,property_type_5,room_type_0,room_type_1,room_type_2,bed_type_0,bed_type_1,bed_type_2,bed_type_3,bed_type_4
3344643,1311,10012.0,40.72437725,-73.99647351,2,1.0,1.0,1.0,2,2,1125,0,1,31,274,4,2436.0,2478.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,225,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1509665,1777,10011.0,40.73230575,-73.99672089,2,1.0,1.0,1.0,1,1,1125,0,0,0,107,17,2113.0,2483.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,2,219,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2351967,2228,10011.0,40.74389823,-74.00197266,3,1.0,2.0,1.0,2,2,1125,0,0,0,229,6,2361.0,2506.0,87.0,10.0,8.0,10.0,10.0,10.0,9.0,1,209,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
511887,1376,10002.0,40.72218018,-73.98432975,3,1.0,2.0,1.0,1,5,21,29,59,89,364,2,1645.0,1658.0,97.0,9.0,10.0,10.0,10.0,10.0,9.0,1,250,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
265626,1409,10013.0,40.72193995,-74.00095429,4,1.0,1.0,1.0,2,1,365,28,58,88,363,37,1420.0,2541.0,87.0,9.0,7.0,9.0,9.0,9.0,8.0,1,200,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
45134,954,10025.0,40.80151571,-73.9586226,3,1.0,1.0,2.0,2,3,365,0,0,0,0,36,974.0,1582.0,95.0,10.0,10.0,10.0,10.0,9.0,9.0,1,149,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
752699,1233,11237.0,40.70471893,-73.92130977,6,1.0,1.0,2.0,2,1,1125,28,58,88,363,2,1770.0,1928.0,89.0,6.0,10.0,10.0,10.0,8.0,9.0,5,250,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1018769,1909,11205.0,40.6921529,-73.9598921,2,1.0,1.0,1.0,2,2,30,19,49,68,343,27,2005.0,2533.0,91.0,10.0,9.0,9.0,9.0,9.0,9.0,1,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
840989,1633,10026.0,40.79864744,-73.95405242,1,1.0,1.0,1.0,1,7,15,27,57,87,362,20,1976.0,2449.0,98.0,10.0,10.0,10.0,10.0,9.0,9.0,1,65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
949455,1749,11211.0,40.7105862,-73.94782826,2,1.0,1.0,1.0,1,3,90,11,11,11,246,44,1915.0,2542.0,94.0,10.0,9.0,10.0,9.0,9.0,9.0,2,95,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1456565,1407,10010.0,40.7479741,-73.99302396,3,1.0,1.0,1.0,2,2,100,20,48,48,259,8,2322.0,2498.0,95.0,10.0,10.0,9.0,10.0,10.0,10.0,1,200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2318157,1984,11221.0,40.69177597,-73.93229773,4,1.0,1.0,2.0,4,1,1125,28,58,88,363,37,2238.0,2555.0,79.0,8.0,8.0,8.0,8.0,7.0,8.0,3,95,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
