id,host_since,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,guests_included,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_listing_count,price
4393397,1602,10027,40.81492842,-73.95171815,0,0,6,1,2,3,0,4,2,1125,28,57,87,362,1,2523,2523,100,10,10,10,10,10,10,2,200
4670121,1646,10013,40.72458538,-74.00317654,0,0,6,1,2,3,0,2,7,1125,28,58,88,268,1,2532,2532,80,8,6,10,10,10,8,7,293
854523,1816,10027,40.81659597,-73.95853298,0,1,1,,1,1,0,1,1,14,30,60,90,365,1,1831,1831,83,8,8,10,10,6,8,1,150
264755,1408,10027,40.80479738,-73.9469706,0,1,2,1.5,1,1,0,1,6,30,0,0,0,0,24,1413,2208,90,9,8,10,9,8,9,6,36
1728437,2081,11225,40.66181779,-73.95338167,1,1,1,1.5,1,1,0,1,2,1125,12,42,53,320,1,2294,2294,97,10,10,10,10,8,10,3,50
1313340,2003,11213,40.67782092,-73.95385836,1,1,3,1,1,1,0,2,3,1125,15,40,70,345,5,2317,2454,92,9,8,9,10,7,9,3,65
273508,1247,10017,40.75109122,-73.97118997,0,2,8,2,1,8,0,1,2,365,30,60,90,365,10,1644,2502,89,7,6,9,9,9,7,25,70
4334886,2465,10035,40.79803923,-73.9311048,0,1,2,1,1,1,0,1,2,30,29,55,85,360,0,,,,,,,,,,2,65
730342,1724,10004,40.70309961,-74.00986011,0,0,2,1,1,1,0,2,5,15,3,33,63,338,17,2357,2532,88,10,9,10,10,9,9,1,200
4065931,2305,11237,40.70048389,-73.92157778,0,1,2,1,1,1,0,1,7,1125,0,30,60,335,1,2456,2456,100,10,10,10,10,10,10,2,55
4524694,2502,10004,40.70678477,-74.01138527,0,0,2,1,0,1,0,1,1,1125,20,50,80,355,2,2541,2551,100,10,6,10,10,10,10,1,320
3541689,2380,10004,40.70667862,-74.01002372,0,0,6,2.5,2,3,0,1,1,1125,0,0,0,151,1,2387,2387,,,,,,,,1,400
658112,1693,10032,40.83905336,-73.94772752,0,1,2,1,1,1,1,1,1,30,0,0,0,275,1,1766,1766,97,10,10,10,10,8,10,1,70
4524751,1708,10013,40.72282941,-74.01001153,0,0,3,1,1,1,0,1,3,1125,25,25,25,25,0,,,,,,,,,,1,199
599336,1659,10032,40.84455781,-73.93320584,0,1,2,,1,1,0,1,3,1125,0,28,58,333,14,2225,2518,86,9,9,10,10,8,9,1,50
3672793,2394,11375,40.71035569,-73.85325371,1,1,1,2,1,1,0,1,1,1125,9,9,9,252,0,,,,,,,,,,1,59
2558713,2169,11216,40.68036756,-73.95366417,3,1,2,1,1,1,0,1,3,30,30,60,90,365,0,,,,,,,,,,2,110
1910090,1881,10004,40.70549667,-74.01022127,0,0,3,1,2,2,0,1,1,1125,28,58,88,363,0,,,,,,,,,,1,325
3279619,1919,10027,40.80512375,-73.94848276,1,0,6,1,2,2,0,4,4,30,16,41,64,323,14,2396,2547,99,10,10,10,10,9,9,3,295
789274,1780,10017,40.75325718,-73.97378007,0,0,4,1,,1,0,1,5,90,26,56,79,321,34,1829,2535,76,9,7,8,8,10,8,1,169
927075,1863,10014,40.7289974,-74.00371188,0,0,2,1,1,1,0,2,2,20,30,60,90,365,4,2055,2116,99,10,10,10,10,10,10,1,600
4597107,2511,10031,40.82250562,-73.95267159,0,0,3,1,1,2,0,1,1,1125,30,60,90,365,0,,,,,,,,,,1,160
1444669,1775,10019,40.76412014,-73.99080629,0,0,4,1,1,2,0,2,7,365,0,7,18,206,6,2073,2441,93,10,8,10,10,9,9,10,265
1189241,1861,10014,40.73387629,-74.0094267,0,0,3,1,1,1,0,2,3,200,1,25,50,306,17,1994,2539,86,8,8,9,9,9,8,2,199
4787010,2534,10016,40.74299193,-73.97885705,0,1,1,1,1,1,0,1,4,14,0,0,0,0,0,,,,,,,,,,1,80
723788,1195,10026,40.80503719,-73.94965464,0,0,4,1,1,1,0,2,1,1125,14,40,70,345,51,1979,2528,91,10,9,10,9,9,9,4,135
4262738,2104,10029,40.79886158,-73.94029665,0,1,2,1,1,2,0,1,1,1125,26,56,86,361,1,2490,2490,100,10,10,10,10,10,10,5,55
4787040,2496,10027,40.81295681,-73.9518042,0,1,3,1.5,1,2,0,1,3,1125,30,60,90,365,0,,,,,,,,,,4,84
1254815,1325,10025,40.80500062,-73.9648868,0,0,2,1,1,1,0,2,2,1125,0,0,0,181,7,2323,2525,97,10,9,10,10,10,10,1,130
2043060,1441,10019,40.76325868,-73.98164542,0,0,2,1,1,1,0,1,2,12,29,59,89,364,11,2195,2500,93,10,10,9,10,9,9,1,295
4282178,2456,11206,40.69723674,-73.94914285,0,1,3,1,1,2,0,2,1,1125,9,39,69,330,3,2479,2511,100,10,10,10,10,8,10,4,70
99913,1198,10029,40.7906107,-73.94558199,0,1,2,1,1,1,0,2,3,730,30,60,90,365,5,1267,2483,60,8,6,8,7,8,7,1,115
2296734,2219,10014,40.73103776,-74.00450117,0,0,6,2,3,3,0,1,1,1125,0,8,38,313,0,,,,,,,,,,1,1000
4531644,2271,11207,40.68831053,-73.914132,0,1,1,2.5,1,1,0,1,1,1125,29,59,89,364,0,,,,,,,,,,2,38
4275729,2470,11221,40.69340835,-73.92266294,1,1,2,2,1,1,0,1,15,33,0,0,0,62,0,,,,,,,,,,1,50
1910210,2139,10035,40.80094113,-73.93691685,0,0,2,1,2,2,0,2,3,14,21,51,80,81,5,2223,2489,92,10,10,10,10,8,9,1,159
4400580,2486,10010,40.73782728,-73.98391125,0,1,2,1,1,1,0,1,3,1125,0,0,0,46,0,,,,,,,,,,1,150
265145,1408,10019,40.76216859,-73.98411334,0,0,2,1,0,1,0,2,5,30,4,10,15,42,7,1449,2194,97,9,9,9,10,10,10,1,200
4335047,1632,10038,40.70986102,-74.00731025,0,0,6,1,1,3,0,1,3,90,0,0,23,293,4,2507,2536,95,10,10,10,10,10,10,2,250
4662749,1658,10019,40.76598881,-73.98924762,0,0,3,1,1,1,0,1,7,15,0,0,0,6,0,,,,,,,,,,1,150
3476729,1817,10019,40.7627505,-73.98933502,0,0,2,1,1,1,0,1,3,30,0,30,60,248,1,2455,2455,80,8,8,10,10,10,8,1,200
